nama_penyakit,apakah_menurun,matched_penyakit,obat_pertolongan_pertama,penyakit_perkembangan
Anemia,TRUE,"Epilepsi, Tifus","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Stroke,TRUE,"Kanker Payudara, Diabetes Mellitus","Antikoagulan, Rehabilitasi",Kelumpuhan
Hepatitis B,TRUE,Demam Berdarah,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
COVID-19,FALSE,"Kanker Prostat, Tuberkulosis, Parkinson","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Parkinson,FALSE,Gagal Ginjal,"Levodopa, Pramipexole",Gangguan Gerak Berat
Bipolar,FALSE,"Diare Akut, Hepatitis C","Lithium, Antidepresan",Depresi Kronis
Hepatitis B,FALSE,"Kanker Prostat, Hepatitis C, Parkinson","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Demam Berdarah,TRUE,"Campak, Hipertensi","Rehidrasi, Paracetamol",Syok Dengue
Diabetes Mellitus,FALSE,"Artritis Reumatoid, Kanker Kolorektal, Influenza","Insulin, Metformin","Gagal Ginjal, Neuropati"
Anemia,TRUE,"Gagal Ginjal, Malaria","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Rubella,FALSE,"Stroke, Campak","Vaksinasi, Istirahat",Cacat Janin
Kanker Kolorektal,TRUE,"Gagal Ginjal, Serangan Jantung","Operasi, Kemoterapi",Metastasis ke Liver
Rubella,FALSE,Kanker Paru-paru,"Vaksinasi, Istirahat",Cacat Janin
Depresi Mayor,TRUE,"Tifus, Campak","SSRI, Psikoterapi",Bunuh Diri
Hepatitis B,TRUE,"Kanker Payudara, Diabetes Mellitus","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Osteoporosis,TRUE,"COVID-19, Pneumonia","Kalsium, Vitamin D",Fraktur Tulang
Artritis Reumatoid,FALSE,"Diabetes Mellitus, Gagal Ginjal","NSAID, Metotreksat",Deformitas Sendi
Gastritis,FALSE,Influenza,"Antasida, Omeprazole",Ulkus Lambung
Campak,FALSE,Bronkitis,"Vitamin A, Paracetamol",Ensefalitis
Diare Akut,TRUE,Hepatitis B,"Oralit, Loperamide",Dehidrasi Parah
Bronkitis,FALSE,"Gastritis, Rubella","Dextromethorphan, Amoksisilin",Pneumonia
Diare Akut,FALSE,"Migraine, Bronkitis","Oralit, Loperamide",Dehidrasi Parah
Skizofrenia,FALSE,"Stroke, Epilepsi","Risperidone, Olanzapine",Disabilitas Sosial
Asma,FALSE,"Tuberkulosis, Rubella, Migraine","Salbutamol, Budesonide",Gagal Napas
Kanker Payudara,TRUE,Hemofilia,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Tifus,FALSE,"Cacar Air, Tuberkulosis, Bronkitis","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Bipolar,TRUE,"Bronkitis, Influenza, Demam Berdarah","Lithium, Antidepresan",Depresi Kronis
Kanker Payudara,FALSE,Migraine,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Rubella,TRUE,"Pneumonia, Demam Berdarah","Vaksinasi, Istirahat",Cacat Janin
Bronkitis,TRUE,"Pneumonia, Migraine","Dextromethorphan, Amoksisilin",Pneumonia
Epilepsi,TRUE,"Kanker Kolorektal, Hepatitis B","Fenitoin, Valproat",Gangguan Kognitif
Artritis Reumatoid,TRUE,"Alzheimer, Gagal Ginjal","NSAID, Metotreksat",Deformitas Sendi
Hipertensi,FALSE,"Alzheimer, Malaria, Cacar Air","Amlodipine, Captopril","Stroke, Serangan Jantung"
Epilepsi,TRUE,Malaria,"Fenitoin, Valproat",Gangguan Kognitif
Tifus,TRUE,"Pneumonia, Osteoporosis, Hemofilia","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Alzheimer,FALSE,Skizofrenia,"Donepezil, Memantine",Demensia Berat
Alzheimer,TRUE,Bronkitis,"Donepezil, Memantine",Demensia Berat
Hepatitis C,FALSE,"Malaria, Campak","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Kolorektal,FALSE,"Influenza, Osteoporosis, Bipolar","Operasi, Kemoterapi",Metastasis ke Liver
Influenza,FALSE,"Epilepsi, Stroke","Oseltamivir, Paracetamol",Pneumonia
Alzheimer,TRUE,"Epilepsi, Gastritis","Donepezil, Memantine",Demensia Berat
Influenza,TRUE,"Asma, Hipertensi, Artritis Reumatoid","Oseltamivir, Paracetamol",Pneumonia
Kanker Kolorektal,TRUE,"Influenza, Parkinson, Campak","Operasi, Kemoterapi",Metastasis ke Liver
Asma,FALSE,Alzheimer,"Salbutamol, Budesonide",Gagal Napas
Influenza,FALSE,"Depresi Mayor, Kanker Kolorektal","Oseltamivir, Paracetamol",Pneumonia
Migraine,FALSE,"Demam Berdarah, Tifus, Diabetes Mellitus","Sumatriptan, Parasetamol",Gangguan Tidur
Bipolar,FALSE,"Artritis Reumatoid, Anemia","Lithium, Antidepresan",Depresi Kronis
Asma,TRUE,Parkinson,"Salbutamol, Budesonide",Gagal Napas
Tuberkulosis,TRUE,Serangan Jantung,"Rifampisin, Isoniazid",Gagal Paru
Gastritis,FALSE,"Tuberkulosis, Rubella, Alzheimer","Antasida, Omeprazole",Ulkus Lambung
Hipertensi,TRUE,Diabetes Mellitus,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Tifus,TRUE,Serangan Jantung,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Tifus,FALSE,Hepatitis B,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Demam Berdarah,TRUE,Rubella,"Rehidrasi, Paracetamol",Syok Dengue
Osteoporosis,TRUE,Epilepsi,"Kalsium, Vitamin D",Fraktur Tulang
Kanker Kolorektal,FALSE,Cacar Air,"Operasi, Kemoterapi",Metastasis ke Liver
Asma,FALSE,"Demam Berdarah, Hemofilia, Tuberkulosis","Salbutamol, Budesonide",Gagal Napas
Demam Berdarah,TRUE,Stroke,"Rehidrasi, Paracetamol",Syok Dengue
Kanker Prostat,TRUE,"Alzheimer, Hepatitis C, Depresi Mayor","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Serangan Jantung,FALSE,"Pneumonia, Bipolar, Hepatitis B","Aspirin, Nitrat",Gagal Jantung
Hipertensi,TRUE,"Kanker Prostat, Parkinson, Osteoporosis","Amlodipine, Captopril","Stroke, Serangan Jantung"
COVID-19,TRUE,"Serangan Jantung, Alzheimer, Depresi Mayor","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Bipolar,TRUE,"Tuberkulosis, Skizofrenia","Lithium, Antidepresan",Depresi Kronis
Influenza,FALSE,Demam Berdarah,"Oseltamivir, Paracetamol",Pneumonia
Bronkitis,TRUE,"Gastritis, Bipolar","Dextromethorphan, Amoksisilin",Pneumonia
Rubella,FALSE,"Osteoporosis, Kanker Payudara, Skizofrenia","Vaksinasi, Istirahat",Cacat Janin
Osteoporosis,FALSE,"Alzheimer, Demam Berdarah","Kalsium, Vitamin D",Fraktur Tulang
Anemia,TRUE,"Campak, Skizofrenia, Parkinson","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Cacar Air,TRUE,Cacar Air,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Anemia,FALSE,"Asma, Tifus, Hepatitis C","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Hemofilia,FALSE,"Parkinson, Kanker Kolorektal",Transfusi Faktor VIII,Pendarahan Internal
Hepatitis B,FALSE,Serangan Jantung,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Kanker Prostat,TRUE,"Gagal Ginjal, Serangan Jantung","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Diabetes Mellitus,TRUE,Kanker Paru-paru,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Hipertensi,FALSE,Cacar Air,"Amlodipine, Captopril","Stroke, Serangan Jantung"
Depresi Mayor,FALSE,"Bipolar, Hipertensi","SSRI, Psikoterapi",Bunuh Diri
Gagal Ginjal,TRUE,Epilepsi,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Kanker Paru-paru,TRUE,Gagal Ginjal,"Kemoterapi, Radioterapi",Metastasis ke Otak
Epilepsi,TRUE,"Gastritis, Osteoporosis","Fenitoin, Valproat",Gangguan Kognitif
Hepatitis B,TRUE,Bipolar,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Tifus,FALSE,"COVID-19, Diare Akut, Asma","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Epilepsi,TRUE,"Tifus, Kanker Payudara","Fenitoin, Valproat",Gangguan Kognitif
Kanker Payudara,FALSE,"Osteoporosis, Hipertensi, Hemofilia","Kemoterapi, Mastektomi",Metastasis ke Tulang
Influenza,FALSE,Gagal Ginjal,"Oseltamivir, Paracetamol",Pneumonia
Influenza,FALSE,Pneumonia,"Oseltamivir, Paracetamol",Pneumonia
Kanker Payudara,TRUE,"Diare Akut, Kanker Paru-paru, Hepatitis C","Kemoterapi, Mastektomi",Metastasis ke Tulang
Epilepsi,FALSE,"Epilepsi, Hepatitis C, Hemofilia","Fenitoin, Valproat",Gangguan Kognitif
Osteoporosis,TRUE,Osteoporosis,"Kalsium, Vitamin D",Fraktur Tulang
Hepatitis C,FALSE,"Diabetes Mellitus, Anemia, Migraine","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Gagal Ginjal,FALSE,Epilepsi,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Diabetes Mellitus,TRUE,Parkinson,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Kanker Kolorektal,TRUE,"Tifus, Asma","Operasi, Kemoterapi",Metastasis ke Liver
Cacar Air,FALSE,"Cacar Air, Demam Berdarah","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Hepatitis C,FALSE,Kanker Prostat,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Gastritis,FALSE,Malaria,"Antasida, Omeprazole",Ulkus Lambung
Hemofilia,TRUE,"Diare Akut, Cacar Air, Parkinson",Transfusi Faktor VIII,Pendarahan Internal
Asma,FALSE,Skizofrenia,"Salbutamol, Budesonide",Gagal Napas
Skizofrenia,TRUE,Kanker Kolorektal,"Risperidone, Olanzapine",Disabilitas Sosial
Alzheimer,TRUE,"Asma, Bipolar, Gagal Ginjal","Donepezil, Memantine",Demensia Berat
Alzheimer,FALSE,Asma,"Donepezil, Memantine",Demensia Berat
Epilepsi,TRUE,"Migraine, Hemofilia, Artritis Reumatoid","Fenitoin, Valproat",Gangguan Kognitif
Depresi Mayor,FALSE,"Artritis Reumatoid, Serangan Jantung, Stroke","SSRI, Psikoterapi",Bunuh Diri
Kanker Paru-paru,FALSE,"COVID-19, Demam Berdarah, Pneumonia","Kemoterapi, Radioterapi",Metastasis ke Otak
Gagal Ginjal,FALSE,"Demam Berdarah, Tuberkulosis, Bipolar","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Depresi Mayor,FALSE,Kanker Payudara,"SSRI, Psikoterapi",Bunuh Diri
Bipolar,FALSE,"Bronkitis, Parkinson, Influenza","Lithium, Antidepresan",Depresi Kronis
Stroke,TRUE,Alzheimer,"Antikoagulan, Rehabilitasi",Kelumpuhan
Stroke,FALSE,"Epilepsi, COVID-19","Antikoagulan, Rehabilitasi",Kelumpuhan
Tuberkulosis,FALSE,Cacar Air,"Rifampisin, Isoniazid",Gagal Paru
Kanker Prostat,FALSE,"Hepatitis B, Campak, Cacar Air","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Kanker Payudara,FALSE,"Hipertensi, COVID-19, Bronkitis","Kemoterapi, Mastektomi",Metastasis ke Tulang
Kanker Kolorektal,FALSE,"Bronkitis, Hepatitis C","Operasi, Kemoterapi",Metastasis ke Liver
Tifus,FALSE,"Depresi Mayor, Rubella, Hepatitis B","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Hemofilia,FALSE,"Pneumonia, Kanker Kolorektal, Kanker Payudara",Transfusi Faktor VIII,Pendarahan Internal
Diare Akut,TRUE,Diare Akut,"Oralit, Loperamide",Dehidrasi Parah
Rubella,FALSE,Stroke,"Vaksinasi, Istirahat",Cacat Janin
Epilepsi,TRUE,"Parkinson, Malaria, Asma","Fenitoin, Valproat",Gangguan Kognitif
Campak,TRUE,Stroke,"Vitamin A, Paracetamol",Ensefalitis
Asma,TRUE,Stroke,"Salbutamol, Budesonide",Gagal Napas
Epilepsi,FALSE,Diabetes Mellitus,"Fenitoin, Valproat",Gangguan Kognitif
Parkinson,TRUE,Asma,"Levodopa, Pramipexole",Gangguan Gerak Berat
Artritis Reumatoid,FALSE,Rubella,"NSAID, Metotreksat",Deformitas Sendi
COVID-19,FALSE,Tifus,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Cacar Air,TRUE,"Hepatitis C, Alzheimer, Influenza","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Hepatitis C,TRUE,Diabetes Mellitus,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Migraine,TRUE,"Diare Akut, Artritis Reumatoid","Sumatriptan, Parasetamol",Gangguan Tidur
Influenza,FALSE,"Hipertensi, Stroke","Oseltamivir, Paracetamol",Pneumonia
Diabetes Mellitus,TRUE,"Alzheimer, Bipolar","Insulin, Metformin","Gagal Ginjal, Neuropati"
Kanker Paru-paru,FALSE,"COVID-19, Gastritis, Malaria","Kemoterapi, Radioterapi",Metastasis ke Otak
Epilepsi,TRUE,"Hemofilia, COVID-19","Fenitoin, Valproat",Gangguan Kognitif
Hepatitis B,FALSE,Influenza,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Alzheimer,FALSE,Hipertensi,"Donepezil, Memantine",Demensia Berat
Stroke,FALSE,"Anemia, Stroke","Antikoagulan, Rehabilitasi",Kelumpuhan
Campak,FALSE,"Migraine, Gagal Ginjal","Vitamin A, Paracetamol",Ensefalitis
Diare Akut,TRUE,"Pneumonia, COVID-19","Oralit, Loperamide",Dehidrasi Parah
Alzheimer,TRUE,"Serangan Jantung, Diabetes Mellitus, Gastritis","Donepezil, Memantine",Demensia Berat
Bipolar,TRUE,"Serangan Jantung, Skizofrenia","Lithium, Antidepresan",Depresi Kronis
COVID-19,FALSE,Diabetes Mellitus,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Bipolar,TRUE,"Osteoporosis, Influenza","Lithium, Antidepresan",Depresi Kronis
Tuberkulosis,TRUE,"Gagal Ginjal, Stroke, Tuberkulosis","Rifampisin, Isoniazid",Gagal Paru
Diabetes Mellitus,FALSE,Kanker Prostat,"Insulin, Metformin","Gagal Ginjal, Neuropati"
COVID-19,TRUE,"Bipolar, COVID-19","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Tuberkulosis,TRUE,"Asma, Kanker Prostat","Rifampisin, Isoniazid",Gagal Paru
Parkinson,TRUE,"Hepatitis B, Parkinson","Levodopa, Pramipexole",Gangguan Gerak Berat
Kanker Kolorektal,TRUE,"Asma, Bronkitis","Operasi, Kemoterapi",Metastasis ke Liver
Gastritis,FALSE,"Kanker Kolorektal, Serangan Jantung, Kanker Payudara","Antasida, Omeprazole",Ulkus Lambung
Cacar Air,FALSE,Alzheimer,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Kanker Payudara,FALSE,"Kanker Payudara, Malaria","Kemoterapi, Mastektomi",Metastasis ke Tulang
Hemofilia,FALSE,Bipolar,Transfusi Faktor VIII,Pendarahan Internal
Serangan Jantung,FALSE,"Malaria, COVID-19","Aspirin, Nitrat",Gagal Jantung
Diare Akut,FALSE,"Kanker Prostat, Hepatitis B","Oralit, Loperamide",Dehidrasi Parah
COVID-19,TRUE,"COVID-19, Artritis Reumatoid, Kanker Payudara","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Hemofilia,FALSE,Stroke,Transfusi Faktor VIII,Pendarahan Internal
Tifus,TRUE,"Tifus, Stroke","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Asma,TRUE,Hemofilia,"Salbutamol, Budesonide",Gagal Napas
Skizofrenia,TRUE,"Gagal Ginjal, COVID-19, Hepatitis C","Risperidone, Olanzapine",Disabilitas Sosial
Bipolar,TRUE,"COVID-19, Campak","Lithium, Antidepresan",Depresi Kronis
Demam Berdarah,FALSE,Kanker Kolorektal,"Rehidrasi, Paracetamol",Syok Dengue
Kanker Kolorektal,FALSE,"Kanker Kolorektal, Gastritis","Operasi, Kemoterapi",Metastasis ke Liver
Anemia,FALSE,Diabetes Mellitus,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Campak,FALSE,Migraine,"Vitamin A, Paracetamol",Ensefalitis
Depresi Mayor,TRUE,Hepatitis B,"SSRI, Psikoterapi",Bunuh Diri
COVID-19,TRUE,"Gastritis, Hepatitis B","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Hepatitis C,FALSE,Epilepsi,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Gagal Ginjal,TRUE,"Serangan Jantung, Osteoporosis","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Cacar Air,TRUE,"Kanker Payudara, Epilepsi","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Stroke,TRUE,"Demam Berdarah, Artritis Reumatoid","Antikoagulan, Rehabilitasi",Kelumpuhan
Asma,TRUE,Campak,"Salbutamol, Budesonide",Gagal Napas
Osteoporosis,TRUE,"Cacar Air, COVID-19, Depresi Mayor","Kalsium, Vitamin D",Fraktur Tulang
Epilepsi,TRUE,Influenza,"Fenitoin, Valproat",Gangguan Kognitif
Rubella,TRUE,"Osteoporosis, Depresi Mayor","Vaksinasi, Istirahat",Cacat Janin
Hepatitis C,FALSE,Rubella,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Hepatitis C,TRUE,"Bipolar, Kanker Payudara, Pneumonia","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Serangan Jantung,FALSE,"Skizofrenia, Artritis Reumatoid, Influenza","Aspirin, Nitrat",Gagal Jantung
Kanker Paru-paru,TRUE,"Parkinson, Malaria, Cacar Air","Kemoterapi, Radioterapi",Metastasis ke Otak
Tuberkulosis,FALSE,"Artritis Reumatoid, Stroke, Parkinson","Rifampisin, Isoniazid",Gagal Paru
Influenza,FALSE,"Hipertensi, Epilepsi, Cacar Air","Oseltamivir, Paracetamol",Pneumonia
Epilepsi,TRUE,"Asma, Kanker Payudara","Fenitoin, Valproat",Gangguan Kognitif
